YEAR,MONTH,Crime_Count
1999,1,4089
1999,2,3296
1999,3,3644
1999,4,4002
1999,5,4386
1999,6,4207
1999,7,3850
1999,8,4008
1999,9,3733
1999,10,4206
1999,11,3653
1999,12,3670
2000,1,3470
2000,2,3440
2000,3,3935
2000,4,3833
2000,5,3790
2000,6,3579
2000,7,3664
2000,8,4032
2000,9,4232
2000,10,4207
2000,11,3914
2000,12,3701
2001,1,3573
2001,2,3177
2001,3,3567
2001,4,3549
2001,5,3663
2001,6,3482
2001,7,3384
2001,8,3529
2001,9,3373
2001,10,3399
2001,11,3243
2001,12,3264
2002,1,3561
2002,2,2956
2002,3,3357
2002,4,2814
2002,5,3070
2002,6,3260
2002,7,3289
2002,8,3271
2002,9,3203
2002,10,3244
2002,11,3068
2002,12,3207
2003,1,3201
2003,2,2519
2003,3,2715
2003,4,2748
2003,5,2794
2003,6,2871
2003,7,2866
2003,8,3236
2003,9,2872
2003,10,2801
2003,11,2615
2003,12,2364
2004,1,2410
2004,2,2517
2004,3,2992
2004,4,2622
2004,5,2739
2004,6,2683
2004,7,2612
2004,8,2699
2004,9,2651
2004,10,2734
2004,11,2541
2004,12,2319
2005,1,2421
2005,2,2423
2005,3,2287
2005,4,2221
2005,5,2486
2005,6,2357
2005,7,2476
2005,8,2571
2005,9,2519
2005,10,2388
2005,11,2388
2005,12,2083
2006,1,2165
2006,2,1951
2006,3,2153
2006,4,2087
2006,5,2198
2006,6,2142
2006,7,2172
2006,8,2553
2006,9,2345
2006,10,2460
2006,11,2060
2006,12,2016
2007,1,2041
2007,2,1886
2007,3,2041
2007,4,1876
2007,5,1938
2007,6,2611
2007,7,2363
2007,8,2190
2007,9,2157
2007,10,1992
2007,11,1972
2007,12,1975
2008,1,2045
2008,2,1923
2008,3,2137
2008,4,2101
2008,5,2061
2008,6,2157
2008,7,2088
2008,8,2434
2008,9,2286
2008,10,2169
2008,11,2299
2008,12,2076
2009,1,1872
2009,2,1708
2009,3,2142
2009,4,2172
2009,5,2244
2009,6,2203
2009,7,2292
2009,8,2257
2009,9,2133
2009,10,2267
2009,11,2292
2009,12,2154
2010,1,2213
2010,2,1932
2010,3,2190
2010,4,2266
2010,5,2535
2010,6,2495
2010,7,2921
2010,8,2964
2010,9,2785
2010,10,2776
2010,11,2415
2010,12,2352
2011,1,2426
2011,2,2144
2011,3,2218
2011,4,2320
2011,5,2558
2011,6,2591
2011,7,2979
2011,8,2695
2011,9,2661
2011,10,2973
2011,11,2998
2011,12,2899
