YEAR,MONTH,Crime_Count,Anomaly,Anomaly_Label
1999,1,4089,-1,Anomaly
1999,2,3296,1,Normal
1999,3,3644,1,Normal
1999,4,4002,1,Normal
1999,5,4386,-1,Anomaly
1999,6,4207,1,Normal
1999,7,3850,1,Normal
1999,8,4008,1,Normal
1999,9,3733,1,Normal
1999,10,4206,-1,Anomaly
1999,11,3653,1,Normal
1999,12,3670,1,Normal
2000,1,3470,1,Normal
2000,2,3440,1,Normal
2000,3,3935,1,Normal
2000,4,3833,1,Normal
2000,5,3790,1,Normal
2000,6,3579,1,Normal
2000,7,3664,1,Normal
2000,8,4032,-1,Anomaly
2000,9,4232,-1,Anomaly
2000,10,4207,1,Normal
2000,11,3914,1,Normal
2000,12,3701,1,Normal
2001,1,3573,1,Normal
2001,2,3177,1,Normal
2001,3,3567,1,Normal
2001,4,3549,1,Normal
2001,5,3663,1,Normal
2001,6,3482,1,Normal
2001,7,3384,1,Normal
2001,8,3529,1,Normal
2001,9,3373,1,Normal
2001,10,3399,1,Normal
2001,11,3243,1,Normal
2001,12,3264,1,Normal
2002,1,3561,1,Normal
2002,2,2956,1,Normal
2002,3,3357,1,Normal
2002,4,2814,1,Normal
2002,5,3070,1,Normal
2002,6,3260,1,Normal
2002,7,3289,1,Normal
2002,8,3271,1,Normal
2002,9,3203,1,Normal
2002,10,3244,1,Normal
2002,11,3068,1,Normal
2002,12,3207,1,Normal
2003,1,3201,1,Normal
2003,2,2519,1,Normal
2003,3,2715,1,Normal
2003,4,2748,1,Normal
2003,5,2794,1,Normal
2003,6,2871,1,Normal
2003,7,2866,1,Normal
2003,8,3236,1,Normal
2003,9,2872,1,Normal
2003,10,2801,1,Normal
2003,11,2615,1,Normal
2003,12,2364,1,Normal
2004,1,2410,1,Normal
2004,2,2517,1,Normal
2004,3,2992,1,Normal
2004,4,2622,1,Normal
2004,5,2739,1,Normal
2004,6,2683,1,Normal
2004,7,2612,1,Normal
2004,8,2699,1,Normal
2004,9,2651,1,Normal
2004,10,2734,1,Normal
2004,11,2541,1,Normal
2004,12,2319,1,Normal
2005,1,2421,1,Normal
2005,2,2423,1,Normal
2005,3,2287,1,Normal
2005,4,2221,1,Normal
2005,5,2486,1,Normal
2005,6,2357,1,Normal
2005,7,2476,1,Normal
2005,8,2571,1,Normal
2005,9,2519,1,Normal
2005,10,2388,1,Normal
2005,11,2388,1,Normal
2005,12,2083,1,Normal
2006,1,2165,1,Normal
2006,2,1951,1,Normal
2006,3,2153,1,Normal
2006,4,2087,1,Normal
2006,5,2198,1,Normal
2006,6,2142,1,Normal
2006,7,2172,1,Normal
2006,8,2553,1,Normal
2006,9,2345,1,Normal
2006,10,2460,1,Normal
2006,11,2060,1,Normal
2006,12,2016,1,Normal
2007,1,2041,1,Normal
2007,2,1886,-1,Anomaly
2007,3,2041,1,Normal
2007,4,1876,1,Normal
2007,5,1938,1,Normal
2007,6,2611,1,Normal
2007,7,2363,1,Normal
2007,8,2190,1,Normal
2007,9,2157,1,Normal
2007,10,1992,1,Normal
2007,11,1972,1,Normal
2007,12,1975,1,Normal
2008,1,2045,1,Normal
2008,2,1923,1,Normal
2008,3,2137,1,Normal
2008,4,2101,1,Normal
2008,5,2061,1,Normal
2008,6,2157,1,Normal
2008,7,2088,1,Normal
2008,8,2434,1,Normal
2008,9,2286,1,Normal
2008,10,2169,1,Normal
2008,11,2299,1,Normal
2008,12,2076,1,Normal
2009,1,1872,-1,Anomaly
2009,2,1708,-1,Anomaly
2009,3,2142,1,Normal
2009,4,2172,1,Normal
2009,5,2244,1,Normal
2009,6,2203,1,Normal
2009,7,2292,1,Normal
2009,8,2257,1,Normal
2009,9,2133,1,Normal
2009,10,2267,1,Normal
2009,11,2292,1,Normal
2009,12,2154,1,Normal
2010,1,2213,1,Normal
2010,2,1932,1,Normal
2010,3,2190,1,Normal
2010,4,2266,1,Normal
2010,5,2535,1,Normal
2010,6,2495,1,Normal
2010,7,2921,1,Normal
2010,8,2964,1,Normal
2010,9,2785,1,Normal
2010,10,2776,1,Normal
2010,11,2415,1,Normal
2010,12,2352,1,Normal
2011,1,2426,1,Normal
2011,2,2144,1,Normal
2011,3,2218,1,Normal
2011,4,2320,1,Normal
2011,5,2558,1,Normal
2011,6,2591,1,Normal
2011,7,2979,1,Normal
2011,8,2695,1,Normal
2011,9,2661,1,Normal
2011,10,2973,1,Normal
2011,11,2998,1,Normal
2011,12,2899,1,Normal
