Latitude,Longitude,Cluster
49.26980201,-123.0837633,1
49.26980201,-123.0837633,1
49.26980201,-123.0837633,1
49.26980201,-123.0837633,1
49.26980201,-123.0837633,1
49.26980201,-123.0837633,1
49.22805078,-123.1466105,4
49.25555918,-123.1937252,4
49.26980201,-123.0837633,1
49.26773386,-123.067654,1
49.26980201,-123.0837633,1
49.25376204,-123.194407,4
49.26781432,-123.0674411,1
49.26773083,-123.0673017,1
49.22642977,-123.0852834,0
49.28471484,-123.1228242,2
49.26781128,-123.0670888,1
49.26980201,-123.0837633,1
49.26980201,-123.0837633,1
49.27937407,-123.1209199,2
49.27870142,-123.1217697,2
49.28269223,-123.1219323,2
49.24807387,-123.1948057,4
49.24815433,-123.194349,4
49.24806975,-123.1937798,4
49.24806975,-123.1937798,4
49.28661123,-123.1341283,2
49.28723347,-123.135476,2
49.27472125,-123.1217449,2
49.27472125,-123.1217449,2
49.27472125,-123.1217449,2
49.2758439,-123.1211037,2
49.27462571,-123.0413255,1
49.28472338,-123.1272377,2
49.2853767,-123.1336862,2
49.2903511,-123.1372304,2
49.27843487,-123.1282696,2
49.27941482,-123.0762036,1
49.24425895,-123.193814,4
49.27843487,-123.1282696,2
49.27843487,-123.1282696,2
49.27843487,-123.1282696,2
49.22591829,-123.0718007,3
49.27843487,-123.1282696,2
49.27843487,-123.1282696,2
49.27843487,-123.1282696,2
49.22589822,-123.0716758,3
49.22600778,-123.071672,3
49.28810969,-123.115333,2
49.28217234,-123.1245969,2
49.28217234,-123.1245969,2
49.27472125,-123.1217449,2
49.27472125,-123.1217449,2
49.27472125,-123.1217449,2
49.27472125,-123.1217449,2
49.28217234,-123.1245969,2
49.24142262,-123.1946379,4
49.28217234,-123.1245969,2
49.28217234,-123.1245969,2
49.24141866,-123.1938356,4
49.28240982,-123.1258353,2
49.28217234,-123.1245969,2
49.24057505,-123.1947133,4
49.27472125,-123.1217449,2
49.24057404,-123.1945146,4
49.22187452,-123.0684485,3
49.2765718,-123.1343584,2
49.27472125,-123.1217449,2
49.27472125,-123.1217449,2
49.27472125,-123.1217449,2
49.2404882,-123.1938344,4
49.2404882,-123.1938344,4
49.27472125,-123.1217449,2
49.27472125,-123.1217449,2
49.27464422,-123.1218633,2
49.2745671,-123.1219819,2
49.2746061,-123.1221003,2
49.2746061,-123.1221003,2
49.27447579,-123.100081,2
49.2365169,-123.196277,4
49.27447579,-123.100081,2
49.27447579,-123.100081,2
49.27447579,-123.100081,2
49.27447579,-123.100081,2
49.27447579,-123.100081,2
49.27428994,-123.1000905,2
49.27428994,-123.1000905,2
49.27428994,-123.1000905,2
49.27428994,-123.1000905,2
49.27422805,-123.1000937,2
49.26644234,-123.1293655,2
49.25259592,-123.0809324,1
49.25287052,-123.0817392,1
49.28321064,-123.1342484,2
49.28321064,-123.1342484,2
49.26531707,-123.195982,4
49.28321064,-123.1342484,2
49.22574162,-123.0894562,0
49.26507508,-123.1935372,4
49.28287426,-123.1349103,2
49.28287426,-123.1349103,2
49.26793055,-123.1296451,2
49.28381277,-123.1333237,2
49.24905474,-123.0699681,1
49.2493029,-123.0698366,1
49.27876526,-123.1256579,2
49.27614349,-123.1340113,2
49.27876526,-123.1256579,2
49.27876526,-123.1256579,2
49.27876526,-123.1256579,2
49.27876526,-123.1256579,2
49.27876526,-123.1256579,2
49.24931147,-123.1414339,4
49.26509537,-123.0666109,1
49.26420058,-123.067759,1
49.27876526,-123.1256579,2
49.27876526,-123.1256579,2
49.27876526,-123.1256579,2
49.27876526,-123.1256579,2
49.27876526,-123.1256579,2
49.27897776,-123.1311305,2
49.27876526,-123.1256579,2
49.22578995,-123.0744603,3
49.27876526,-123.1256579,2
49.27607279,-123.1339282,2
49.27876526,-123.1256579,2
49.24715468,-123.0239071,3
49.26419937,-123.0675115,1
49.27876526,-123.1256579,2
49.28381277,-123.1333237,2
49.27916448,-123.08123,1
49.27908217,-123.0812301,1
49.27908217,-123.0812301,1
49.26419537,-123.0666625,1
49.26419521,-123.0666271,1
49.27866939,-123.125802,2
49.27441867,-123.1189699,2
49.27441867,-123.1189699,2
49.27441867,-123.1189699,2
49.27441867,-123.1189699,2
49.28631424,-123.1296856,2
49.24812064,-123.0677612,1
49.27441867,-123.1189699,2
49.27866939,-123.125802,2
49.27460944,-123.1195956,2
49.27445534,-123.1202996,2
49.26320984,-123.0669885,1
49.27445534,-123.1202996,2
49.24917423,-123.185138,4
49.24933219,-123.1851371,4
49.27445534,-123.1202996,2
49.27445534,-123.1202996,2
49.27866939,-123.125802,2
49.26320782,-123.0667586,1
49.27410807,-123.1207015,2
49.27866939,-123.125802,2
49.24860929,-123.090093,1
49.27866939,-123.125802,2
49.27866939,-123.125802,2
49.27866939,-123.125802,2
49.2815014,-123.1371411,2
49.24802757,-123.0605719,3
49.24802757,-123.0605719,3
49.26328936,-123.0666802,1
49.24802757,-123.0605719,3
49.24802757,-123.0605719,3
49.24802757,-123.0605719,3
49.27866939,-123.125802,2
49.27866939,-123.125802,2
49.27866939,-123.125802,2
49.27866939,-123.125802,2
49.27866939,-123.125802,2
49.27908186,-123.080649,1
49.27859298,-123.1260934,2
49.27849711,-123.1262375,2
49.26320157,-123.0660432,1
49.26635679,-123.1290448,2
49.27792183,-123.1269262,2
49.27792183,-123.1269262,2
49.28028527,-123.1274579,2
49.27841223,-123.067962,1
49.27841223,-123.067962,1
49.27841223,-123.067962,1
49.27792183,-123.1269262,2
49.27792183,-123.1269262,2
49.27792183,-123.1269262,2
49.27792183,-123.1269262,2
49.27792183,-123.1269262,2
49.27792183,-123.1269262,2
49.27792183,-123.1269262,2
49.27797957,-123.1270159,2
49.27797957,-123.1270159,2
49.27797957,-123.1270159,2
49.27797957,-123.1270159,2
49.22526136,-123.0456064,3
49.22526136,-123.0456064,3
49.22526136,-123.0456064,3
49.27797957,-123.1270159,2
49.27848869,-123.0676562,1
49.27797957,-123.1270159,2
49.27476246,-123.0646301,1
49.2867683,-123.1260415,2
49.2867683,-123.1260415,2
49.2768602,-123.1226992,2
49.2768602,-123.1226992,2
49.27848494,-123.0674548,1
49.2768602,-123.1226992,2
49.2768602,-123.1226992,2
49.27839984,-123.0673073,1
49.2768602,-123.1226992,2
49.2768602,-123.1226992,2
49.2768602,-123.1226992,2
49.27658991,-123.1231088,2
49.2867683,-123.1260415,2
49.2867683,-123.1260415,2
49.27608806,-123.1238697,2
49.27608806,-123.1238697,2
49.28756012,-123.1272932,2
49.24760009,-123.0604511,3
49.27403384,-123.0800221,1
49.27601085,-123.1239867,2
49.27601085,-123.1239867,2
49.27601085,-123.1239867,2
49.27601085,-123.1239867,2
49.24883237,-123.060416,3
49.2786995,-123.1277905,2
49.27850734,-123.1278985,2
49.27620973,-123.1217094,2
49.28217234,-123.1245969,2
49.28217234,-123.1245969,2
49.2833084,-123.1292167,2
49.28346249,-123.1294534,2
49.27484905,-123.0744044,1
49.27839024,-123.0668037,1
49.22586821,-123.0758415,3
49.27575004,-123.1225915,2
49.27908087,-123.1333897,2
49.27902221,-123.1334778,2
49.27902221,-123.1334778,2
49.22775875,-123.1629544,4
49.2485095,-123.0971279,0
49.22751396,-123.1702097,4
49.27902221,-123.1334778,2
49.27902221,-123.1334778,2
49.27902221,-123.1334778,2
49.27902221,-123.1334778,2
49.27933749,-123.1337883,2
49.27930451,-123.1339163,2
49.27532967,-123.1189112,2
49.27542366,-123.1188373,2
49.27542366,-123.1188373,2
49.27930451,-123.1339163,2
49.27930451,-123.1339163,2
49.27930451,-123.1339163,2
49.2796124,-123.1343945,2
49.2796124,-123.1343945,2
49.28119648,-123.0680057,1
49.28119648,-123.0680057,1
49.29049721,-123.1426341,2
49.27561154,-123.1186893,2
49.2796124,-123.1343945,2
49.2796124,-123.1343945,2
49.27977369,-123.1344659,2
49.24978373,-123.1677721,4
49.27977369,-123.1344659,2
49.27977369,-123.1344659,2
49.27977369,-123.1344659,2
49.27977369,-123.1344659,2
49.27977369,-123.1344659,2
49.27977369,-123.1344659,2
49.27977369,-123.1344659,2
49.27802392,-123.1247864,2
49.27977369,-123.1344659,2
49.27977369,-123.1344659,2
49.27977369,-123.1344659,2
49.27576287,-123.118219,2
49.27977369,-123.1344659,2
49.28021647,-123.0676751,1
49.28399012,-123.1261415,2
49.28412619,-123.1261691,2
49.28029845,-123.0676237,1
49.28029845,-123.0676237,1
49.24857388,-123.1011452,0
49.28412619,-123.1261691,2
49.28412619,-123.1261691,2
49.28029845,-123.0676237,1
49.28029845,-123.0676237,1
49.28029845,-123.0676237,1
49.28435679,-123.1266896,2
49.22640639,-123.1038437,0
49.28435679,-123.1266896,2
49.28435679,-123.1266896,2
49.28435679,-123.1266896,2
49.27811997,-123.1246406,2
49.24847513,-123.1010253,0
49.28435679,-123.1266896,2
49.28464993,-123.126952,2
49.2758439,-123.1211037,2
49.2758439,-123.1211037,2
49.2758439,-123.1211037,2
49.2758439,-123.1211037,2
49.28021515,-123.0674749,1
49.28021515,-123.0674749,1
49.2758439,-123.1211037,2
49.2887947,-123.1171866,2
49.2758439,-123.1211037,2
49.28472338,-123.1272377,2
49.28891168,-123.1167881,2
49.28472338,-123.1272377,2
49.28021266,-123.0671247,1
49.28021266,-123.0671247,1
49.28021266,-123.0671247,1
49.275437,-123.0696001,1
49.28021266,-123.0671247,1
49.28472338,-123.1272377,2
49.27508908,-123.122247,2
49.27489555,-123.1225402,2
49.28472338,-123.1272377,2
49.28472338,-123.1272377,2
49.27811997,-123.1246406,2
49.27811997,-123.1246406,2
49.28509518,-123.1276176,2
49.27937642,-123.1266214,2
49.27937642,-123.1266214,2
49.28519183,-123.123859,2
49.28217234,-123.1245969,2
49.27535378,-123.0694756,1
49.22518967,-123.050379,3
49.28217234,-123.1245969,2
49.27937642,-123.1266214,2
49.27937642,-123.1266214,2
49.27937642,-123.1266214,2
49.2755022,-123.0694735,1
49.27937642,-123.1266214,2
49.27933777,-123.1266783,2
49.27910604,-123.1270188,2
49.27904719,-123.1272797,2
49.2766348,-123.1288807,2
49.27811997,-123.1246406,2
49.2755846,-123.0694722,1
49.27563407,-123.0694716,1
49.22613472,-123.0852913,0
49.27811997,-123.1246406,2
49.27997747,-123.1306717,2
49.27811997,-123.1246406,2
49.27811997,-123.1246406,2
49.27632672,-123.0715101,1
49.27811997,-123.1246406,2
49.28029346,-123.0669233,1
49.27802392,-123.1247864,2
49.27802392,-123.1247864,2
49.27802392,-123.1247864,2
49.27802392,-123.1247864,2
49.27802392,-123.1247864,2
49.27802392,-123.1247864,2
49.27998808,-123.1305089,2
49.27777415,-123.1253417,2
49.28496424,-123.1274219,2
49.24950317,-123.1718152,4
49.28496424,-123.1274219,2
49.27669931,-123.1287827,2
49.27738944,-123.1257477,2
49.28020601,-123.0661741,1
49.28020601,-123.0661741,1
49.28020601,-123.0661741,1
49.28020601,-123.0661741,1
49.28020601,-123.0661741,1
49.27968959,-123.1302239,2
49.28020601,-123.0661741,1
49.27979619,-123.1302103,2
49.27979619,-123.1302103,2
49.27979619,-123.1302103,2
49.28020601,-123.0661741,1
49.27738944,-123.1257477,2
49.27738944,-123.1257477,2
49.27738944,-123.1257477,2
49.27738944,-123.1257477,2
49.27738944,-123.1257477,2
49.27738944,-123.1257477,2
49.27738944,-123.1257477,2
49.27952167,-123.1299627,2
49.27949769,-123.1299254,2
49.28381277,-123.1333237,2
49.27947372,-123.129888,2
49.28472338,-123.1272377,2
49.27958033,-123.1298746,2
49.28472338,-123.1272377,2
49.27729356,-123.12607,2
49.22436837,-123.0718537,3
49.27723589,-123.1261574,2
49.27955635,-123.1298372,2
49.27955635,-123.1298372,2
49.27154547,-123.0790268,1
49.28917665,-123.1419554,2
49.28922158,-123.142064,2
49.28890161,-123.1423681,2
49.28890161,-123.1423681,2
49.24854043,-123.0857825,1
49.28890161,-123.1423681,2
