Date,Predicted_Crime_Count,Lower_Bound,Upper_Bound,Trend,Trend_Lower,Trend_Upper,YEAR,MONTH,Forecast_Range,Volatility_Index,Forecast_Threat_Level,Forecast_Risk_Score
1999-04-01,3845.96,3551.74,4130.73,4068.64,4068.64,4068.64,1999,4,578.98,0.15,HIGH,92.82
1999-05-01,4032.8,3761.51,4296.23,4049.04,4049.04,4049.04,1999,5,534.72,0.13,HIGH,97.33
1999-06-01,4132.52,3865.27,4431.56,4028.78,4028.78,4028.78,1999,6,566.29,0.14,HIGH,99.74
1999-07-01,4132.57,3842.64,4413.43,4009.18,4009.18,4009.18,1999,7,570.78,0.14,HIGH,99.74
1999-08-01,4143.48,3849.53,4414.1,3988.92,3988.92,3988.92,1999,8,564.57,0.14,HIGH,100.0
1999-09-01,3952.35,3676.6,4236.01,3968.67,3968.67,3968.67,1999,9,559.41,0.14,HIGH,95.39
1999-10-01,4081.58,3776.68,4359.73,3949.06,3949.06,3949.06,1999,10,583.05,0.14,HIGH,98.51
1999-11-01,3859.96,3548.35,4127.96,3928.81,3928.81,3928.81,1999,11,579.61,0.15,HIGH,93.16
1999-12-01,3823.3,3544.23,4115.59,3909.21,3909.21,3909.21,1999,12,571.36,0.15,HIGH,92.27
2000-01-01,3793.37,3490.37,4092.02,3888.95,3888.95,3888.95,2000,1,601.65,0.16,HIGH,91.55
2000-02-01,3627.97,3329.64,3936.36,3868.7,3868.7,3868.7,2000,2,606.72,0.17,HIGH,87.56
2000-03-01,3882.12,3586.96,4171.04,3849.75,3849.75,3849.75,2000,3,584.08,0.15,HIGH,93.69
2000-04-01,3755.65,3475.06,4047.36,3829.49,3829.49,3829.49,2000,4,572.3,0.15,HIGH,90.64
2000-05-01,3824.85,3539.87,4086.98,3809.89,3809.89,3809.89,2000,5,547.11,0.14,HIGH,92.31
2000-06-01,3711.74,3417.0,3998.06,3789.63,3789.63,3789.63,2000,6,581.06,0.16,HIGH,89.58
2000-07-01,3737.83,3447.36,4033.19,3770.03,3770.03,3770.03,2000,7,585.83,0.16,HIGH,90.21
2000-08-01,3945.25,3657.65,4248.96,3749.78,3749.78,3749.78,2000,8,591.31,0.15,HIGH,95.22
2000-09-01,3895.5,3597.67,4161.02,3729.52,3729.52,3729.52,2000,9,563.35,0.14,HIGH,94.02
2000-10-01,3830.72,3534.57,4123.45,3709.92,3709.92,3709.92,2000,10,588.88,0.15,HIGH,92.45
2000-11-01,3701.96,3408.66,3980.2,3689.66,3689.66,3689.66,2000,11,571.54,0.15,HIGH,89.34
2000-12-01,3484.01,3192.09,3771.51,3664.73,3664.73,3664.73,2000,12,579.42,0.17,HIGH,84.08
